simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100

tick,agent,score,energy,location,target
1.0,2,0,499,[10, 17],[12, 15]
1.0,1,0,499,[58, 44],[58, 45]
2.0,1,0,498,[58, 45],null
2.0,2,0,498,[11, 16],[12, 15]
3.0,2,0,498,[11, 16],[12, 15]
3.0,1,0,498,[58, 45],null
4.0,2,0,497,[12, 15],null
4.0,1,0,497,[59, 45],[62, 48]
5.0,1,0,495,[61, 47],[62, 48]
5.0,2,0,496,[11, 15],[9, 16]
6.0,1,0,495,[61, 47],[62, 48]
6.0,2,0,496,[11, 15],[9, 16]
7.0,1,0,493,[63, 48],[64, 49]
7.0,2,0,494,[9, 16],null
8.0,2,0,493,[8, 17],null
8.0,1,0,492,[64, 49],null
9.0,1,0,491,[63, 0],null
9.0,2,0,492,[8, 18],[7, 20]
10.0,1,0,491,[63, 0],null
10.0,2,0,492,[8, 18],[7, 20]
11.0,1,0,490,[62, 0],[60, 48]
11.0,2,0,491,[8, 19],[7, 20]
12.0,1,0,488,[60, 48],null
12.0,2,0,489,[7, 19],[8, 17]
13.0,1,0,487,[60, 47],[61, 44]
13.0,2,0,488,[7, 18],[8, 17]
14.0,2,0,488,[7, 18],[8, 17]
14.0,1,0,487,[60, 47],[61, 44]
15.0,1,0,485,[60, 45],[61, 44]
15.0,2,0,486,[8, 18],[11, 21]
16.0,1,0,484,[61, 44],null
16.0,2,0,485,[9, 19],[11, 21]
17.0,1,0,484,[61, 44],null
17.0,2,0,485,[9, 19],[11, 21]
18.0,2,0,484,[10, 20],[11, 21]
18.0,1,0,483,[61, 43],[61, 40]
19.0,2,0,482,[11, 22],[12, 24]
19.0,1,0,481,[61, 41],[61, 40]
20.0,1,0,481,[61, 41],[61, 40]
20.0,2,0,482,[11, 22],[12, 24]
21.0,2,0,481,[11, 23],[12, 24]
21.0,1,0,480,[61, 40],null
22.0,2,0,480,[12, 24],null
22.0,1,0,479,[61, 39],[60, 36]
23.0,2,0,478,[13, 22],null
23.0,1,0,477,[61, 37],[60, 36]
24.0,1,0,476,[60, 36],null
24.0,2,0,477,[13, 21],[14, 20]
25.0,2,0,476,[14, 20],null
25.0,1,0,476,[60, 36],null
26.0,2,0,476,[14, 20],null
26.0,1,0,476,[60, 36],null
27.0,1,0,475,[59, 36],[56, 37]
27.0,2,0,475,[13, 20],[10, 19]
28.0,2,0,473,[11, 20],[10, 19]
28.0,1,0,473,[57, 36],[56, 37]
29.0,2,0,472,[10, 19],null
29.0,1,0,472,[56, 37],null
30.0,1,8,472,[56, 37],null
30.0,2,0,471,[10, 18],[11, 15]
31.0,1,8,472,[56, 37],null
