simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100

tick,agent,score,energy,location,target
1.0,2,0,499,[18, 33],[16, 31]
1.0,1,0,499,[86, 41],[83, 44]
2.0,2,0,499,[18, 33],[16, 31]
2.0,1,0,499,[86, 41],[83, 44]
3.0,1,0,497,[84, 43],[83, 44]
3.0,2,0,497,[16, 31],null
4.0,1,0,497,[84, 43],[83, 44]
4.0,2,0,497,[16, 31],null
5.0,2,0,497,[16, 31],null
5.0,1,0,496,[83, 44],null
6.0,2,0,495,[18, 31],null
6.0,1,0,494,[81, 44],null
7.0,2,0,495,[18, 31],null
7.0,1,0,494,[81, 44],null
8.0,1,0,494,[81, 44],null
8.0,2,0,495,[18, 31],null
9.0,1,0,493,[82, 43],[83, 42]
9.0,2,0,494,[18, 30],[18, 28]
10.0,2,0,493,[18, 29],[18, 28]
10.0,1,0,492,[83, 42],null
11.0,2,0,492,[18, 28],null
11.0,1,2,491,[82, 41],null
12.0,1,2,491,[82, 41],null
12.0,2,0,492,[18, 28],null
13.0,1,2,490,[81, 41],[78, 41]
13.0,2,0,491,[18, 27],[19, 26]
14.0,2,0,490,[19, 26],null
14.0,1,2,489,[80, 41],[78, 41]
15.0,2,10,490,[19, 26],null
15.0,1,2,488,[79, 41],[78, 41]
16.0,1,2,487,[78, 41],null
16.0,2,10,489,[20, 25],[21, 24]
17.0,2,10,488,[21, 24],null
17.0,1,10,487,[78, 41],null
18.0,2,10,487,[22, 23],[25, 20]
18.0,1,10,485,[78, 40],[80, 41]
19.0,2,10,487,[22, 23],[25, 20]
19.0,1,10,485,[78, 40],[80, 41]
20.0,2,10,485,[24, 21],[25, 20]
20.0,1,10,483,[80, 41],null
21.0,1,10,482,[79, 40],[76, 37]
21.0,2,10,484,[25, 20],null
22.0,1,10,482,[79, 40],[76, 37]
22.0,2,10,484,[25, 20],null
23.0,1,10,481,[78, 39],[76, 37]
23.0,2,14,484,[25, 20],null
24.0,1,10,480,[77, 38],[76, 37]
24.0,2,14,483,[26, 20],[29, 19]
25.0,1,10,479,[76, 37],null
25.0,2,14,482,[27, 20],[29, 19]
26.0,2,14,480,[29, 19],null
26.0,1,10,477,[77, 38],null
