simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100

tick,agent,score,energy,location,target
1.0,1,0,500,[16, 14],null
2.0,1,0,499,[17, 14],[20, 11]
3.0,1,0,498,[18, 13],[20, 11]
4.0,1,0,496,[20, 11],null
5.0,1,0,496,[20, 11],null
6.0,1,0,495,[20, 12],[18, 14]
7.0,1,0,495,[20, 12],[18, 14]
8.0,1,0,493,[18, 14],null
9.0,1,0,493,[18, 14],null
10.0,1,0,491,[17, 16],[15, 18]
11.0,1,0,491,[17, 16],[15, 18]
12.0,1,0,489,[15, 18],null
13.0,1,0,488,[15, 17],[16, 17]
14.0,1,0,488,[15, 17],[16, 17]
15.0,1,0,487,[16, 17],null
16.0,1,0,486,[15, 17],[14, 18]
17.0,1,0,484,[14, 19],[15, 22]
18.0,1,0,483,[14, 20],[15, 22]
19.0,1,0,483,[14, 20],[15, 22]
20.0,1,0,482,[14, 21],[15, 22]
21.0,1,0,481,[15, 22],null
22.0,1,0,480,[16, 22],[17, 22]
23.0,1,0,478,[17, 21],[18, 19]
24.0,1,0,478,[17, 21],[18, 19]
25.0,1,0,476,[18, 19],null
26.0,1,0,476,[18, 19],null
27.0,1,0,474,[18, 17],[17, 15]
28.0,1,0,474,[18, 17],[17, 15]
29.0,1,0,473,[18, 16],[17, 15]
30.0,1,0,472,[17, 15],null
31.0,1,0,471,[18, 15],[21, 16]
32.0,1,0,469,[20, 15],[21, 16]
33.0,1,0,469,[20, 15],[21, 16]
34.0,1,0,467,[22, 16],[24, 15]
35.0,1,0,467,[22, 16],[24, 15]
36.0,1,0,466,[23, 16],[24, 15]
37.0,1,0,465,[24, 15],null
38.0,1,0,463,[25, 13],[26, 12]
39.0,1,0,462,[26, 12],null
40.0,1,0,462,[26, 12],null
41.0,1,0,461,[26, 11],[23, 8]
42.0,1,0,461,[26, 11],[23, 8]
43.0,1,0,460,[25, 10],[23, 8]
44.0,1,0,459,[24, 9],[23, 8]
